prompt_id,genre_slug,level,phrasing,prompt_text
rock_L1_num,rock,1,numeric,"instrumental rock track, energy level 1 out of 11"
rock_L1_verb,rock,1,verbal,"instrumental rock track, very calm"
rock_L3_num,rock,3,numeric,"instrumental rock track, energy level 3 out of 11"
rock_L3_verb,rock,3,verbal,"instrumental rock track, calm"
rock_L5_num,rock,5,numeric,"instrumental rock track, energy level 5 out of 11"
rock_L5_verb,rock,5,verbal,"instrumental rock track, moderate energy"
rock_L7_num,rock,7,numeric,"instrumental rock track, energy level 7 out of 11"
rock_L7_verb,rock,7,verbal,"instrumental rock track, energetic"
rock_L9_num,rock,9,numeric,"instrumental rock track, energy level 9 out of 11"
rock_L9_verb,rock,9,verbal,"instrumental rock track, extremely intense"
edm_L1_num,edm,1,numeric,"instrumental electronic dance track, energy level 1 out of 11"
edm_L1_verb,edm,1,verbal,"instrumental electronic dance track, very calm"
edm_L3_num,edm,3,numeric,"instrumental electronic dance track, energy level 3 out of 11"
edm_L3_verb,edm,3,verbal,"instrumental electronic dance track, calm"
edm_L5_num,edm,5,numeric,"instrumental electronic dance track, energy level 5 out of 11"
edm_L5_verb,edm,5,verbal,"instrumental electronic dance track, moderate energy"
edm_L7_num,edm,7,numeric,"instrumental electronic dance track, energy level 7 out of 11"
edm_L7_verb,edm,7,verbal,"instrumental electronic dance track, energetic"
edm_L9_num,edm,9,numeric,"instrumental electronic dance track, energy level 9 out of 11"
edm_L9_verb,edm,9,verbal,"instrumental electronic dance track, extremely intense"
hiphop_L1_num,hiphop,1,numeric,"instrumental hip-hop track, energy level 1 out of 11"
hiphop_L1_verb,hiphop,1,verbal,"instrumental hip-hop track, very calm"
hiphop_L3_num,hiphop,3,numeric,"instrumental hip-hop track, energy level 3 out of 11"
hiphop_L3_verb,hiphop,3,verbal,"instrumental hip-hop track, calm"
hiphop_L5_num,hiphop,5,numeric,"instrumental hip-hop track, energy level 5 out of 11"
hiphop_L5_verb,hiphop,5,verbal,"instrumental hip-hop track, moderate energy"
hiphop_L7_num,hiphop,7,numeric,"instrumental hip-hop track, energy level 7 out of 11"
hiphop_L7_verb,hiphop,7,verbal,"instrumental hip-hop track, energetic"
hiphop_L9_num,hiphop,9,numeric,"instrumental hip-hop track, energy level 9 out of 11"
hiphop_L9_verb,hiphop,9,verbal,"instrumental hip-hop track, extremely intense"
folk_L1_num,folk,1,numeric,"instrumental acoustic folk track, energy level 1 out of 11"
folk_L1_verb,folk,1,verbal,"instrumental acoustic folk track, very calm"
folk_L3_num,folk,3,numeric,"instrumental acoustic folk track, energy level 3 out of 11"
folk_L3_verb,folk,3,verbal,"instrumental acoustic folk track, calm"
folk_L5_num,folk,5,numeric,"instrumental acoustic folk track, energy level 5 out of 11"
folk_L5_verb,folk,5,verbal,"instrumental acoustic folk track, moderate energy"
folk_L7_num,folk,7,numeric,"instrumental acoustic folk track, energy level 7 out of 11"
folk_L7_verb,folk,7,verbal,"instrumental acoustic folk track, energetic"
folk_L9_num,folk,9,numeric,"instrumental acoustic folk track, energy level 9 out of 11"
folk_L9_verb,folk,9,verbal,"instrumental acoustic folk track, extremely intense"
orchestral_L1_num,orchestral,1,numeric,"instrumental orchestral track, energy level 1 out of 11"
orchestral_L1_verb,orchestral,1,verbal,"instrumental orchestral track, very calm"
orchestral_L3_num,orchestral,3,numeric,"instrumental orchestral track, energy level 3 out of 11"
orchestral_L3_verb,orchestral,3,verbal,"instrumental orchestral track, calm"
orchestral_L5_num,orchestral,5,numeric,"instrumental orchestral track, energy level 5 out of 11"
orchestral_L5_verb,orchestral,5,verbal,"instrumental orchestral track, moderate energy"
orchestral_L7_num,orchestral,7,numeric,"instrumental orchestral track, energy level 7 out of 11"
orchestral_L7_verb,orchestral,7,verbal,"instrumental orchestral track, energetic"
orchestral_L9_num,orchestral,9,numeric,"instrumental orchestral track, energy level 9 out of 11"
orchestral_L9_verb,orchestral,9,verbal,"instrumental orchestral track, extremely intense"
